date	lat	lon
9/5/2014 23:46	18.403	-66.012
9/6/2014 3:50	18.398	-66.096
9/6/2014 4:54	18.397	-66.068
9/6/2014 7:07	18.01	-66.614
9/6/2014 12:17	18.442	-66.059
9/6/2014 15:43	18.362	-66.11
9/6/2014 16:07	18.239	-66.007
9/6/2014 16:18	18.372	-65.945
9/6/2014 19:05	18.398	-66.155
9/6/2014 21:36	18.374	-66.132
9/6/2014 22:36	17.988	-66.669
9/7/2014 0:49	18.377	-66.134
9/7/2014 2:04	18.258	-65.975
9/7/2014 2:20	18.236	-66.013
9/7/2014 2:34	18.281	-66.27
9/7/2014 2:39	18.236	-66.013
9/7/2014 4:16	18.414	-66.033
9/7/2014 4:35	18.386	-66.199
9/7/2014 12:16	18.399	-66.174
9/7/2014 16:17	18.392	-66.042
9/7/2014 18:00	18.419	-66.056
9/8/2014 0:18	18.404	-66.05
9/8/2014 8:09	18.378	-65.998
9/8/2014 10:56	18.256	-66.099
9/8/2014 12:34	18.367	-66.048
9/8/2014 13:44	18.387	-66.061
9/8/2014 14:35	18.379	-66.163
9/8/2014 18:29	18.425	-66.486
9/8/2014 19:09	18.406	-66.049
9/8/2014 20:16	18.37	-65.991
9/8/2014 23:14	18.41	-66.101
9/8/2014 23:58	18.38	-65.802
9/8/2014 23:58	18.38	-65.802
9/9/2014 0:12	18.346	-65.66
9/9/2014 0:52	18.205	-67.141
9/9/2014 1:24	18.131	-66.123
9/9/2014 1:53	18.402	-66.101
9/9/2014 1:53	17.999	-66.61
9/9/2014 2:01	18.223	-66.046
9/9/2014 2:01	17.996	-66.609
9/9/2014 3:13	18.438	-66.132
9/9/2014 15:41	18.402	-66.076
9/9/2014 15:49	18.477	-66.832
9/9/2014 19:15	18.408	-66.047
9/9/2014 20:27	18.357	-66.111
9/9/2014 21:28	18.357	-66.449
9/9/2014 22:10	18.347	-65.99
9/9/2014 22:54	18.324	-66.144
9/9/2014 22:57	18.372	-65.944
9/9/2014 23:16	18.4	-65.973
9/10/2014 1:00	18.369	-66.126
9/10/2014 1:24	18.424	-65.857
9/10/2014 1:42	17.998	-66.61
9/10/2014 5:25	18.414	-66.093
9/10/2014 11:10	18.396	-65.979
9/10/2014 12:38	18.354	-66.005
9/10/2014 13:08	18.451	-66.062
9/10/2014 13:52	18.405	-66.046
9/10/2014 14:51	18.395	-66.028
9/10/2014 16:28	18.407	-66.033
9/10/2014 16:50	17.997	-66.62
9/10/2014 23:22	18.216	-66.052
9/10/2014 23:53	18.382	-66.094
9/11/2014 0:41	18.192	-66.105
9/11/2014 2:47	18.432	-66.035
9/11/2014 13:30	18.476	-66.277
9/11/2014 21:19	17.978	-66.296
